Client,Tot Fil+ GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Askender,3044.00,Anwen / 29.57%,NBFS / 21.02%,Phi Mining / 16.82%,NBFS / 7.36%,Nelson / 4.20%,Unknown / 4.20%,NBFS / 4.20%,stuberman / 3.15%,reiers / 3.15%,Unknown / 1.58%,Kernelogic / 1.05%,deegee / 1.05%,Factor8 / 1.05%,Unknown / 1.05%,bigbear / 0.53%,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Simba,2368.00,f022352,f02576,f09848,f010617,f01240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Simba,2368.00,reiers / 21.62%,benjaminh / 21.62%,bigbear / 21.62%,Kernelogic / 18.92%,Speedium / 16.22%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ElioVP,1024.00,f01234,f01240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ElioVP,1024.00,ElioVP / 96.88%,Speedium / 3.12%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Linix Webhosting,1024.00,f02576,f010446,f023467,f01240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Linix Webhosting,1024.00,benjaminh / 32.81%,Unknown / 25.00%,Phi Mining / 23.44%,Speedium / 18.75%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
安徽六六六科技有限公司,997.16,f0161542,f0111007,f079815,f0103665,f087256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
安徽六六六科技有限公司,997.16,unknown 3 / 96.29%,Unknown / 3.21%,Unknown / 0.30%,Unknown / 0.10%,Unknown / 0.10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
!!!ALLOCATION NOT PUBLIC!!!,165.81,f061158,f08157,f01278,f082095,f0111885,f023467,f058369,f014768,f022142,f08403,f02423,f089840,f0100082,f0102313,f0106949,f0107995,f0110133,f0110488,f0115108,f0121958,f0152854,f0156207,f0156452,f0157265,f0157564,f0158468,f0165375,f0215497,f0216138,f0224841,f0228575,f02500,f025007,f065280,f078621,f08399,f097777,f098706,f022352
!!!ALLOCATION NOT PUBLIC!!!,165.81,Unknown / 72.37%,Unknown / 19.30%,stuberman / 2.41%,Unknown / 2.11%,Unknown / 0.30%,Phi Mining / 0.30%,Unknown / 0.25%,Unknown / 0.23%,Nelson / 0.23%,TippyFlits / 0.23%,Unknown / 0.15%,Unknown / 0.15%,Unknown / 0.08%,Unknown / 0.08%,Unknown / 0.08%,Unknown / 0.08%,Unknown / 0.08%,Unknown / 0.08%,Unknown / 0.08%,Unknown / 0.08%,Unknown / 0.08%,Unknown / 0.08%,Unknown / 0.08%,Unknown / 0.08%,Unknown / 0.08%,Unknown / 0.08%,Unknown / 0.08%,Unknown / 0.08%,Unknown / 0.08%,Unknown / 0.08%,Unknown / 0.08%,Unknown / 0.08%,Unknown / 0.08%,Unknown / 0.08%,Unknown / 0.08%,Unknown / 0.08%,Unknown / 0.08%,Unknown / 0.08%,reiers / 0.02%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phi Mining,64.00,f01240,f01278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phi Mining,64.00,Speedium / 50.00%,stuberman / 50.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Starry sky in Yunnan,33.00,f030649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Starry sky in Yunnan,33.00,Unknown / 100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neo Beat,32.00,f03325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neo Beat,32.00,Unknown / 100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JV,6.00,f010617,f01247,f019551,f022142,f023467,f022352,f09848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JV,6.00,Kernelogic / 16.67%,Unknown / 16.67%,Unknown / 16.67%,Nelson / 16.67%,Phi Mining / 16.67%,reiers / 8.33%,bigbear / 8.33%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alyale Philippines,5.50,f023467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alyale Philippines,5.50,Phi Mining / 100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piñata,0.01,f010479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piñata,0.01,s0nik42 / 100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
